,artist.inverted,track,week,rank
84,Lonestar,Amazed,5,38.0
85,Lonestar,Amazed,6,33.0
86,Lonestar,Amazed,7,29.0
87,Lonestar,Amazed,8,29.0
88,Lonestar,Amazed,9,32.0
89,Lonestar,Amazed,10,27.0
90,Destiny's Child,Independent Women Part I,2,63.0
91,Destiny's Child,Independent Women Part I,3,49.0
92,Destiny's Child,Independent Women Part I,4,33.0
93,Destiny's Child,Independent Women Part I,5,23.0
94,Destiny's Child,Independent Women Part I,6,15.0
95,Destiny's Child,Independent Women Part I,7,7.0
96,Destiny's Child,Independent Women Part I,8,5.0
97,Destiny's Child,Independent Women Part I,9,1.0
98,Destiny's Child,Independent Women Part I,10,1.0
99,Destiny's Child,Independent Women Part I,11,1.0
100,Destiny's Child,Independent Women Part I,12,1.0
101,Destiny's Child,Independent Women Part I,13,1.0
102,Destiny's Child,Independent Women Part I,14,1.0
103,Destiny's Child,Independent Women Part I,15,1.0
104,Destiny's Child,Independent Women Part I,16,1.0
105,Destiny's Child,Independent Women Part I,17,1.0
106,Destiny's Child,Independent Women Part I,18,1.0
107,Destiny's Child,Independent Women Part I,19,1.0
108,Destiny's Child,Independent Women Part I,20,2.0
109,Destiny's Child,Independent Women Part I,21,3.0
110,Destiny's Child,Independent Women Part I,22,7.0
111,Destiny's Child,Independent Women Part I,23,10.0
112,Destiny's Child,Independent Women Part I,24,12.0
113,Destiny's Child,Independent Women Part I,25,15.0
114,Destiny's Child,Independent Women Part I,26,22.0
115,Destiny's Child,Independent Women Part I,27,29.0
116,Destiny's Child,Independent Women Part I,28,31.0
117,Destiny's Child,Independent Women Part I,29,
118,Destiny's Child,Independent Women Part I,30,
119,Destiny's Child,Independent Women Part I,31,
120,Destiny's Child,Independent Women Part I,32,
121,Destiny's Child,Independent Women Part I,33,
122,Destiny's Child,Independent Women Part I,34,
123,Destiny's Child,Independent Women Part I,35,
124,Destiny's Child,Independent Women Part I,36,
125,Destiny's Child,Independent Women Part I,37,
126,Destiny's Child,Independent Women Part I,38,
127,Destiny's Child,Independent Women Part I,39,
128,Destiny's Child,Independent Women Part I,40,
129,Destiny's Child,Independent Women Part I,41,
130,Destiny's Child,Independent Women Part I,42,
131,Destiny's Child,Independent Women Part I,43,
132,Destiny's Child,Independent Women Part I,44,
133,Destiny's Child,Independent Women Part I,45,
134,Destiny's Child,Independent Women Part I,46,
135,Destiny's Child,Independent Women Part I,47,
136,Destiny's Child,Independent Women Part I,48,
137,Destiny's Child,Independent Women Part I,49,
138,Destiny's Child,Independent Women Part I,50,
139,Destiny's Child,Independent Women Part I,51,
140,Destiny's Child,Independent Women Part I,52,
141,Destiny's Child,Independent Women Part I,53,
142,Destiny's Child,Independent Women Part I,54,
143,Destiny's Child,Independent Women Part I,55,
144,Destiny's Child,Independent Women Part I,56,
145,Destiny's Child,Independent Women Part I,57,
146,Destiny's Child,Independent Women Part I,58,
147,Destiny's Child,Independent Women Part I,59,
148,Destiny's Child,Independent Women Part I,60,
149,Destiny's Child,Independent Women Part I,61,
150,Destiny's Child,Independent Women Part I,62,
151,Destiny's Child,Independent Women Part I,63,
152,Destiny's Child,Independent Women Part I,64,
153,Destiny's Child,Independent Women Part I,65,
154,Destiny's Child,Independent Women Part I,66,
155,Destiny's Child,Independent Women Part I,67,
156,Destiny's Child,Independent Women Part I,68,
157,Destiny's Child,Independent Women Part I,69,
158,Destiny's Child,Independent Women Part I,70,
159,Destiny's Child,Independent Women Part I,71,
160,Destiny's Child,Independent Women Part I,72,
161,Destiny's Child,Independent Women Part I,73,
162,Destiny's Child,Independent Women Part I,74,
163,Destiny's Child,Independent Women Part I,75,
164,Santana,"Maria, Maria",2,8.0
165,Santana,"Maria, Maria",3,6.0
166,Santana,"Maria, Maria",4,5.0
167,Santana,"Maria, Maria",5,2.0
168,Santana,"Maria, Maria",6,3.0
169,Santana,"Maria, Maria",7,2.0
170,Santana,"Maria, Maria",8,2.0
171,Santana,"Maria, Maria",9,1.0
172,Santana,"Maria, Maria",10,1.0
173,Santana,"Maria, Maria",11,1.0
174,Santana,"Maria, Maria",12,1.0
175,Santana,"Maria, Maria",13,1.0
176,Santana,"Maria, Maria",14,1.0
177,Santana,"Maria, Maria",15,1.0
178,Santana,"Maria, Maria",16,1.0
179,Santana,"Maria, Maria",17,1.0
180,Santana,"Maria, Maria",18,1.0
181,Santana,"Maria, Maria",19,8.0
182,Santana,"Maria, Maria",20,15.0
183,Santana,"Maria, Maria",21,19.0
184,Santana,"Maria, Maria",22,21.0
185,Santana,"Maria, Maria",23,26.0
186,Santana,"Maria, Maria",24,36.0
187,Santana,"Maria, Maria",25,48.0
188,Santana,"Maria, Maria",26,47.0
189,Santana,"Maria, Maria",27,
190,Santana,"Maria, Maria",28,
191,Santana,"Maria, Maria",29,
192,Santana,"Maria, Maria",30,
193,Santana,"Maria, Maria",31,
194,Santana,"Maria, Maria",32,
195,Santana,"Maria, Maria",33,
196,Santana,"Maria, Maria",34,
197,Santana,"Maria, Maria",35,
198,Santana,"Maria, Maria",36,
199,Santana,"Maria, Maria",37,
200,Santana,"Maria, Maria",38,
201,Santana,"Maria, Maria",39,
202,Santana,"Maria, Maria",40,
203,Santana,"Maria, Maria",41,
204,Santana,"Maria, Maria",42,
205,Santana,"Maria, Maria",43,
206,Santana,"Maria, Maria",44,
207,Santana,"Maria, Maria",45,
208,Santana,"Maria, Maria",46,
209,Santana,"Maria, Maria",47,
210,Santana,"Maria, Maria",48,
211,Santana,"Maria, Maria",49,
212,Santana,"Maria, Maria",50,
213,Santana,"Maria, Maria",51,
214,Santana,"Maria, Maria",52,
215,Santana,"Maria, Maria",53,
216,Santana,"Maria, Maria",54,
217,Santana,"Maria, Maria",55,
218,Santana,"Maria, Maria",56,
219,Santana,"Maria, Maria",57,
220,Santana,"Maria, Maria",58,
221,Santana,"Maria, Maria",59,
222,Santana,"Maria, Maria",60,
223,Santana,"Maria, Maria",61,
224,Santana,"Maria, Maria",62,
225,Santana,"Maria, Maria",63,
226,Santana,"Maria, Maria",64,
227,Santana,"Maria, Maria",65,
228,Santana,"Maria, Maria",66,
229,Santana,"Maria, Maria",67,
230,Santana,"Maria, Maria",68,
231,Santana,"Maria, Maria",69,
232,Santana,"Maria, Maria",70,
233,Santana,"Maria, Maria",71,
234,Santana,"Maria, Maria",72,
235,Santana,"Maria, Maria",73,
236,Santana,"Maria, Maria",74,
237,Santana,"Maria, Maria",75,
238,Savage Garden,I Knew I Loved You,2,48.0
239,Savage Garden,I Knew I Loved You,3,43.0
240,Savage Garden,I Knew I Loved You,4,31.0
241,Savage Garden,I Knew I Loved You,5,20.0
242,Savage Garden,I Knew I Loved You,6,13.0
243,Savage Garden,I Knew I Loved You,7,7.0
244,Savage Garden,I Knew I Loved You,8,6.0
245,Savage Garden,I Knew I Loved You,9,4.0
246,Savage Garden,I Knew I Loved You,10,4.0
247,Savage Garden,I Knew I Loved You,11,4.0
248,Savage Garden,I Knew I Loved You,12,6.0
249,Savage Garden,I Knew I Loved You,13,4.0
250,Savage Garden,I Knew I Loved You,14,2.0
251,Savage Garden,I Knew I Loved You,15,1.0
252,Savage Garden,I Knew I Loved You,16,1.0
253,Savage Garden,I Knew I Loved You,17,1.0
254,Savage Garden,I Knew I Loved You,18,2.0
255,Savage Garden,I Knew I Loved You,19,1.0
256,Savage Garden,I Knew I Loved You,20,2.0
257,Savage Garden,I Knew I Loved You,21,4.0
258,Savage Garden,I Knew I Loved You,22,8.0
259,Savage Garden,I Knew I Loved You,23,8.0
260,Savage Garden,I Knew I Loved You,24,12.0
261,Savage Garden,I Knew I Loved You,25,14.0
262,Savage Garden,I Knew I Loved You,26,17.0
263,Savage Garden,I Knew I Loved You,27,21.0
264,Savage Garden,I Knew I Loved You,28,24.0
265,Savage Garden,I Knew I Loved You,29,30.0
266,Savage Garden,I Knew I Loved You,30,34.0
267,Savage Garden,I Knew I Loved You,31,37.0
268,Savage Garden,I Knew I Loved You,32,46.0
269,Savage Garden,I Knew I Loved You,33,47.0
270,Savage Garden,I Knew I Loved You,34,
271,Savage Garden,I Knew I Loved You,35,
272,Savage Garden,I Knew I Loved You,36,
273,Savage Garden,I Knew I Loved You,37,
274,Savage Garden,I Knew I Loved You,38,
275,Savage Garden,I Knew I Loved You,39,
276,Savage Garden,I Knew I Loved You,40,
277,Savage Garden,I Knew I Loved You,41,
278,Savage Garden,I Knew I Loved You,42,
279,Savage Garden,I Knew I Loved You,43,
280,Savage Garden,I Knew I Loved You,44,
281,Savage Garden,I Knew I Loved You,45,
282,Savage Garden,I Knew I Loved You,46,
283,Savage Garden,I Knew I Loved You,47,
284,Savage Garden,I Knew I Loved You,48,
285,Savage Garden,I Knew I Loved You,49,
286,Savage Garden,I Knew I Loved You,50,
287,Savage Garden,I Knew I Loved You,51,
288,Savage Garden,I Knew I Loved You,52,
289,Savage Garden,I Knew I Loved You,53,
290,Savage Garden,I Knew I Loved You,54,
291,Savage Garden,I Knew I Loved You,55,
292,Savage Garden,I Knew I Loved You,56,
293,Savage Garden,I Knew I Loved You,57,
294,Savage Garden,I Knew I Loved You,58,
295,Savage Garden,I Knew I Loved You,59,
296,Savage Garden,I Knew I Loved You,60,
297,Savage Garden,I Knew I Loved You,61,
298,Savage Garden,I Knew I Loved You,62,
299,Savage Garden,I Knew I Loved You,63,
300,Savage Garden,I Knew I Loved You,64,
301,Savage Garden,I Knew I Loved You,65,
302,Savage Garden,I Knew I Loved You,66,
303,Savage Garden,I Knew I Loved You,67,
304,Savage Garden,I Knew I Loved You,68,
305,Savage Garden,I Knew I Loved You,69,
306,Savage Garden,I Knew I Loved You,70,
307,Savage Garden,I Knew I Loved You,71,
308,Savage Garden,I Knew I Loved You,72,
309,Savage Garden,I Knew I Loved You,73,
310,Savage Garden,I Knew I Loved You,74,
311,Savage Garden,I Knew I Loved You,75,
312,Madonna,Music,2,23.0
313,Madonna,Music,3,18.0
314,Madonna,Music,4,14.0
315,Madonna,Music,5,2.0
316,Madonna,Music,6,1.0
317,Madonna,Music,7,1.0
318,Madonna,Music,8,1.0
319,Madonna,Music,9,1.0
320,Madonna,Music,10,2.0
321,Madonna,Music,11,2.0
322,Madonna,Music,12,2.0
323,Madonna,Music,13,2.0
324,Madonna,Music,14,2.0
325,Madonna,Music,15,4.0
326,Madonna,Music,16,8.0
327,Madonna,Music,17,11.0
328,Madonna,Music,18,16.0
329,Madonna,Music,19,20.0
330,Madonna,Music,20,25.0
331,Madonna,Music,21,27.0
332,Madonna,Music,22,27.0
333,Madonna,Music,23,29.0
334,Madonna,Music,24,44.0
335,Madonna,Music,25,
336,Madonna,Music,26,
337,Madonna,Music,27,
338,Madonna,Music,28,
339,Madonna,Music,29,
340,Madonna,Music,30,
341,Madonna,Music,31,
342,Madonna,Music,32,
343,Madonna,Music,33,
344,Madonna,Music,34,
345,Madonna,Music,35,
346,Madonna,Music,36,
347,Madonna,Music,37,
348,Madonna,Music,38,
349,Madonna,Music,39,
350,Madonna,Music,40,
351,Madonna,Music,41,
352,Madonna,Music,42,
353,Madonna,Music,43,
354,Madonna,Music,44,
355,Madonna,Music,45,
356,Madonna,Music,46,
357,Madonna,Music,47,
358,Madonna,Music,48,
359,Madonna,Music,49,
360,Madonna,Music,50,
361,Madonna,Music,51,
362,Madonna,Music,52,
363,Madonna,Music,53,
364,Madonna,Music,54,
365,Madonna,Music,55,
366,Madonna,Music,56,
367,Madonna,Music,57,
368,Madonna,Music,58,
369,Madonna,Music,59,
370,Madonna,Music,60,
371,Madonna,Music,61,
372,Madonna,Music,62,
373,Madonna,Music,63,
374,Madonna,Music,64,
375,Madonna,Music,65,
376,Madonna,Music,66,
377,Madonna,Music,67,
378,Madonna,Music,68,
379,Madonna,Music,69,
380,Madonna,Music,70,
381,Madonna,Music,71,
382,Madonna,Music,72,
383,Madonna,Music,73,
384,Madonna,Music,74,
385,Madonna,Music,75,
386,"Aguilera, Christina",Come On Over Baby (All I Want Is You),2,47.0
387,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3,45.0
388,"Aguilera, Christina",Come On Over Baby (All I Want Is You),4,29.0
389,"Aguilera, Christina",Come On Over Baby (All I Want Is You),5,23.0
390,"Aguilera, Christina",Come On Over Baby (All I Want Is You),6,18.0
391,"Aguilera, Christina",Come On Over Baby (All I Want Is You),7,11.0
392,"Aguilera, Christina",Come On Over Baby (All I Want Is You),8,9.0
393,"Aguilera, Christina",Come On Over Baby (All I Want Is You),9,9.0
394,"Aguilera, Christina",Come On Over Baby (All I Want Is You),10,11.0
395,"Aguilera, Christina",Come On Over Baby (All I Want Is You),11,1.0
396,"Aguilera, Christina",Come On Over Baby (All I Want Is You),12,1.0
397,"Aguilera, Christina",Come On Over Baby (All I Want Is You),13,1.0
398,"Aguilera, Christina",Come On Over Baby (All I Want Is You),14,1.0
399,"Aguilera, Christina",Come On Over Baby (All I Want Is You),15,4.0
400,"Aguilera, Christina",Come On Over Baby (All I Want Is You),16,8.0
401,"Aguilera, Christina",Come On Over Baby (All I Want Is You),17,12.0
402,"Aguilera, Christina",Come On Over Baby (All I Want Is You),18,22.0
403,"Aguilera, Christina",Come On Over Baby (All I Want Is You),19,23.0
404,"Aguilera, Christina",Come On Over Baby (All I Want Is You),20,43.0
405,"Aguilera, Christina",Come On Over Baby (All I Want Is You),21,44.0
406,"Aguilera, Christina",Come On Over Baby (All I Want Is You),22,
407,"Aguilera, Christina",Come On Over Baby (All I Want Is You),23,
408,"Aguilera, Christina",Come On Over Baby (All I Want Is You),24,
409,"Aguilera, Christina",Come On Over Baby (All I Want Is You),25,
410,"Aguilera, Christina",Come On Over Baby (All I Want Is You),26,
411,"Aguilera, Christina",Come On Over Baby (All I Want Is You),27,
412,"Aguilera, Christina",Come On Over Baby (All I Want Is You),28,
413,"Aguilera, Christina",Come On Over Baby (All I Want Is You),29,
414,"Aguilera, Christina",Come On Over Baby (All I Want Is You),30,
415,"Aguilera, Christina",Come On Over Baby (All I Want Is You),31,
416,"Aguilera, Christina",Come On Over Baby (All I Want Is You),32,
417,"Aguilera, Christina",Come On Over Baby (All I Want Is You),33,
418,"Aguilera, Christina",Come On Over Baby (All I Want Is You),34,
419,"Aguilera, Christina",Come On Over Baby (All I Want Is You),35,
420,"Aguilera, Christina",Come On Over Baby (All I Want Is You),36,
421,"Aguilera, Christina",Come On Over Baby (All I Want Is You),37,
422,"Aguilera, Christina",Come On Over Baby (All I Want Is You),38,
423,"Aguilera, Christina",Come On Over Baby (All I Want Is You),39,
424,"Aguilera, Christina",Come On Over Baby (All I Want Is You),40,
425,"Aguilera, Christina",Come On Over Baby (All I Want Is You),41,
426,"Aguilera, Christina",Come On Over Baby (All I Want Is You),42,
427,"Aguilera, Christina",Come On Over Baby (All I Want Is You),43,
428,"Aguilera, Christina",Come On Over Baby (All I Want Is You),44,
429,"Aguilera, Christina",Come On Over Baby (All I Want Is You),45,
430,"Aguilera, Christina",Come On Over Baby (All I Want Is You),46,
431,"Aguilera, Christina",Come On Over Baby (All I Want Is You),47,
432,"Aguilera, Christina",Come On Over Baby (All I Want Is You),48,
433,"Aguilera, Christina",Come On Over Baby (All I Want Is You),49,
434,"Aguilera, Christina",Come On Over Baby (All I Want Is You),50,
435,"Aguilera, Christina",Come On Over Baby (All I Want Is You),51,
436,"Aguilera, Christina",Come On Over Baby (All I Want Is You),52,
437,"Aguilera, Christina",Come On Over Baby (All I Want Is You),53,
438,"Aguilera, Christina",Come On Over Baby (All I Want Is You),54,
439,"Aguilera, Christina",Come On Over Baby (All I Want Is You),55,
440,"Aguilera, Christina",Come On Over Baby (All I Want Is You),56,
441,"Aguilera, Christina",Come On Over Baby (All I Want Is You),57,
442,"Aguilera, Christina",Come On Over Baby (All I Want Is You),58,
443,"Aguilera, Christina",Come On Over Baby (All I Want Is You),59,
444,"Aguilera, Christina",Come On Over Baby (All I Want Is You),60,
445,"Aguilera, Christina",Come On Over Baby (All I Want Is You),61,
446,"Aguilera, Christina",Come On Over Baby (All I Want Is You),62,
447,"Aguilera, Christina",Come On Over Baby (All I Want Is You),63,
448,"Aguilera, Christina",Come On Over Baby (All I Want Is You),64,
449,"Aguilera, Christina",Come On Over Baby (All I Want Is You),65,
450,"Aguilera, Christina",Come On Over Baby (All I Want Is You),66,
451,"Aguilera, Christina",Come On Over Baby (All I Want Is You),67,
452,"Aguilera, Christina",Come On Over Baby (All I Want Is You),68,
453,"Aguilera, Christina",Come On Over Baby (All I Want Is You),69,
454,"Aguilera, Christina",Come On Over Baby (All I Want Is You),70,
455,"Aguilera, Christina",Come On Over Baby (All I Want Is You),71,
456,"Aguilera, Christina",Come On Over Baby (All I Want Is You),72,
457,"Aguilera, Christina",Come On Over Baby (All I Want Is You),73,
458,"Aguilera, Christina",Come On Over Baby (All I Want Is You),74,
459,"Aguilera, Christina",Come On Over Baby (All I Want Is You),75,
460,Janet,Doesn't Really Matter,2,52.0
461,Janet,Doesn't Really Matter,3,43.0
462,Janet,Doesn't Really Matter,4,30.0
463,Janet,Doesn't Really Matter,5,29.0
464,Janet,Doesn't Really Matter,6,22.0
465,Janet,Doesn't Really Matter,7,15.0
466,Janet,Doesn't Really Matter,8,10.0
467,Janet,Doesn't Really Matter,9,10.0
468,Janet,Doesn't Really Matter,10,5.0
469,Janet,Doesn't Really Matter,11,1.0
470,Janet,Doesn't Really Matter,12,1.0
471,Janet,Doesn't Really Matter,13,1.0
472,Janet,Doesn't Really Matter,14,2.0
473,Janet,Doesn't Really Matter,15,2.0
474,Janet,Doesn't Really Matter,16,3.0
475,Janet,Doesn't Really Matter,17,3.0
476,Janet,Doesn't Really Matter,18,7.0
477,Janet,Doesn't Really Matter,19,8.0
478,Janet,Doesn't Really Matter,20,20.0
479,Janet,Doesn't Really Matter,21,25.0
480,Janet,Doesn't Really Matter,22,37.0
481,Janet,Doesn't Really Matter,23,40.0
482,Janet,Doesn't Really Matter,24,41.0
483,Janet,Doesn't Really Matter,25,
484,Janet,Doesn't Really Matter,26,
485,Janet,Doesn't Really Matter,27,
486,Janet,Doesn't Really Matter,28,
487,Janet,Doesn't Really Matter,29,
488,Janet,Doesn't Really Matter,30,
489,Janet,Doesn't Really Matter,31,
490,Janet,Doesn't Really Matter,32,
491,Janet,Doesn't Really Matter,33,
492,Janet,Doesn't Really Matter,34,
493,Janet,Doesn't Really Matter,35,
494,Janet,Doesn't Really Matter,36,
495,Janet,Doesn't Really Matter,37,
496,Janet,Doesn't Really Matter,38,
497,Janet,Doesn't Really Matter,39,
498,Janet,Doesn't Really Matter,40,
499,Janet,Doesn't Really Matter,41,
500,Janet,Doesn't Really Matter,42,
501,Janet,Doesn't Really Matter,43,
502,Janet,Doesn't Really Matter,44,
503,Janet,Doesn't Really Matter,45,
504,Janet,Doesn't Really Matter,46,
505,Janet,Doesn't Really Matter,47,
506,Janet,Doesn't Really Matter,48,
507,Janet,Doesn't Really Matter,49,
508,Janet,Doesn't Really Matter,50,
509,Janet,Doesn't Really Matter,51,
510,Janet,Doesn't Really Matter,52,
511,Janet,Doesn't Really Matter,53,
512,Janet,Doesn't Really Matter,54,
513,Janet,Doesn't Really Matter,55,
514,Janet,Doesn't Really Matter,56,
515,Janet,Doesn't Really Matter,57,
516,Janet,Doesn't Really Matter,58,
517,Janet,Doesn't Really Matter,59,
518,Janet,Doesn't Really Matter,60,
519,Janet,Doesn't Really Matter,61,
520,Janet,Doesn't Really Matter,62,
521,Janet,Doesn't Really Matter,63,
522,Janet,Doesn't Really Matter,64,
523,Janet,Doesn't Really Matter,65,
524,Janet,Doesn't Really Matter,66,
525,Janet,Doesn't Really Matter,67,
526,Janet,Doesn't Really Matter,68,
527,Janet,Doesn't Really Matter,69,
528,Janet,Doesn't Really Matter,70,
529,Janet,Doesn't Really Matter,71,
530,Janet,Doesn't Really Matter,72,
531,Janet,Doesn't Really Matter,73,
532,Janet,Doesn't Really Matter,74,
533,Janet,Doesn't Really Matter,75,
534,Destiny's Child,Say My Name,2,83.0
535,Destiny's Child,Say My Name,3,44.0
536,Destiny's Child,Say My Name,4,38.0
537,Destiny's Child,Say My Name,5,16.0
538,Destiny's Child,Say My Name,6,13.0
539,Destiny's Child,Say My Name,7,16.0
540,Destiny's Child,Say My Name,8,16.0
541,Destiny's Child,Say My Name,9,16.0
542,Destiny's Child,Say My Name,10,18.0
543,Destiny's Child,Say My Name,11,17.0
544,Destiny's Child,Say My Name,12,14.0
545,Destiny's Child,Say My Name,13,1.0
546,Destiny's Child,Say My Name,14,1.0
547,Destiny's Child,Say My Name,15,1.0
548,Destiny's Child,Say My Name,16,2.0
549,Destiny's Child,Say My Name,17,2.0
550,Destiny's Child,Say My Name,18,3.0
551,Destiny's Child,Say My Name,19,5.0
552,Destiny's Child,Say My Name,20,5.0
553,Destiny's Child,Say My Name,21,5.0
554,Destiny's Child,Say My Name,22,7.0
555,Destiny's Child,Say My Name,23,10.0
556,Destiny's Child,Say My Name,24,13.0
557,Destiny's Child,Say My Name,25,14.0
558,Destiny's Child,Say My Name,26,18.0
559,Destiny's Child,Say My Name,27,23.0
560,Destiny's Child,Say My Name,28,23.0
561,Destiny's Child,Say My Name,29,34.0
562,Destiny's Child,Say My Name,30,37.0
563,Destiny's Child,Say My Name,31,43.0
564,Destiny's Child,Say My Name,32,47.0
565,Destiny's Child,Say My Name,33,
566,Destiny's Child,Say My Name,34,
567,Destiny's Child,Say My Name,35,
568,Destiny's Child,Say My Name,36,
569,Destiny's Child,Say My Name,37,
570,Destiny's Child,Say My Name,38,
571,Destiny's Child,Say My Name,39,
572,Destiny's Child,Say My Name,40,
573,Destiny's Child,Say My Name,41,
574,Destiny's Child,Say My Name,42,
575,Destiny's Child,Say My Name,43,
576,Destiny's Child,Say My Name,44,
577,Destiny's Child,Say My Name,45,
578,Destiny's Child,Say My Name,46,
579,Destiny's Child,Say My Name,47,
580,Destiny's Child,Say My Name,48,
581,Destiny's Child,Say My Name,49,
582,Destiny's Child,Say My Name,50,
583,Destiny's Child,Say My Name,51,
584,Destiny's Child,Say My Name,52,
585,Destiny's Child,Say My Name,53,
586,Destiny's Child,Say My Name,54,
587,Destiny's Child,Say My Name,55,
588,Destiny's Child,Say My Name,56,
589,Destiny's Child,Say My Name,57,
590,Destiny's Child,Say My Name,58,
591,Destiny's Child,Say My Name,59,
592,Destiny's Child,Say My Name,60,
593,Destiny's Child,Say My Name,61,
594,Destiny's Child,Say My Name,62,
595,Destiny's Child,Say My Name,63,
596,Destiny's Child,Say My Name,64,
597,Destiny's Child,Say My Name,65,
598,Destiny's Child,Say My Name,66,
599,Destiny's Child,Say My Name,67,
600,Destiny's Child,Say My Name,68,
601,Destiny's Child,Say My Name,69,
602,Destiny's Child,Say My Name,70,
603,Destiny's Child,Say My Name,71,
604,Destiny's Child,Say My Name,72,
605,Destiny's Child,Say My Name,73,
606,Destiny's Child,Say My Name,74,
607,Destiny's Child,Say My Name,75,
608,"Iglesias, Enrique",Be With You,2,45.0
609,"Iglesias, Enrique",Be With You,3,34.0
610,"Iglesias, Enrique",Be With You,4,23.0
611,"Iglesias, Enrique",Be With You,5,17.0
612,"Iglesias, Enrique",Be With You,6,12.0
613,"Iglesias, Enrique",Be With You,7,9.0
614,"Iglesias, Enrique",Be With You,8,8.0
615,"Iglesias, Enrique",Be With You,9,8.0
616,"Iglesias, Enrique",Be With You,10,6.0
617,"Iglesias, Enrique",Be With You,11,5.0
618,"Iglesias, Enrique",Be With You,12,4.0
619,"Iglesias, Enrique",Be With You,13,1.0
620,"Iglesias, Enrique",Be With You,14,1.0
621,"Iglesias, Enrique",Be With You,15,1.0
622,"Iglesias, Enrique",Be With You,16,3.0
623,"Iglesias, Enrique",Be With You,17,11.0
624,"Iglesias, Enrique",Be With You,18,14.0
625,"Iglesias, Enrique",Be With You,19,24.0
