,artist.inverted,track,weeks on charts
246,2 Pac,Baby Don't Cry (Keep Ya Head Up II),7
247,"Wallflowers, The",Sleepwalker,6
248,Drama,"Left, Right, Left",13
249,Limp Bizkit,N 2 Gether Now,11
250,Lox,"Ryde or Die, Chick",7
251,Ying Yang Twins,Whistle While You Twurk,14
252,"Walker, Clay","Live, Laugh, Love",11
253,Metallica,No Leaf Clover (Live),10
254,Yankee Grey,Another Nine Minutes,8
255,"Bega, Lou",Tricky Tricky ,3
256,Big Punisher,It's So Hard,15
257,"Worley, Darryl",When You Need My Love,15
258,Lil' Kim,How Many Licks?,9
259,"Clark, Terri",A Little Gasoline,6
260,"Brock, Chad",A Country Boy Can Survive,3
261,"Cagle, Chris",My Love Goes On And On,11
262,"Byrd, Tracy",Put Your Hand In Mine,8
263,Metallica,I Disappear,20
264,Jay-Z,Hey Papi,15
265,Fatboy Slim,The Rockafeller Skank,12
266,"Levert, Gerald",Mr. Too Damn Good,8
267,"McKnight, Brian",Stay Or Let It Go,8
268,"Allan, Gary",Smoke Rings In The Dark,5
269,Ginuwine,The Best Man I Can Be,12
270,Before Dark,Monica,9
271,"Estefan, Gloria",No Me Dejes De Querer,1
272,Stone Temple Pilots,Sour Girl,13
273,Montgomery Gentry,Daddy Won't Sell The Farm,6
274,"Cyrus, Billy Ray",You Won't Be Lonely Now,13
275,Clark Family Experience,Meanwhile Back At The Ranch,12
276,"Thomas, Carl",Summer Rain,11
277,"Yearwood, Trisha",Real Live Woman,6
278,Trick Daddy,Shut Up,11
279,"Moore, Chante",Straight Up,9
280,Cam'ron,What Means The World To You,10
281,Juvenile,U Understand,6
282,"Hollister, Dave",Can't Stay,4
283,Tamia,Can't Go For That,5
284,LFO,West Side Story,4
285,"Paisley, Brad",Me Neither,4
286,"Carter, Torrey",Take That,7
287,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3
288,Madison Avenue,Don't Call Me Baby,20
289,Eve,Got It All,5
290,Limp Bizkit,Re-Arranged,18
291,"Spencer, Tracie",Still In My Heart,3
292,Nu Flavor,3 Little Words,9
293,Tamar,If You Don't Wanna Love Me,6
294,"Levert, Gerald",Baby U Are,5
295,"Hart, Beth",L.A. Song,12
296,"Diffie, Joe",The Quittin' Kind,6
297,Funkmaster Flex,Do You,7
298,"Price, Kelly",Love Sets You Free,4
299,En Vogue,Riddle,4
300,"Herndon, Ty",No Mercy,8
301,Anastacia,I'm Outta Love,3
302,Trina,Pull Over,4
303,Lil' Mo,Ta Da,7
304,A*Teens,Dancing Queen,5
305,"Sheist, Shade",Where I Wanna Be,5
306,De La Soul,All Good?,3
307,"Larrieux, Amel",Get Up,3
308,"Braxton, Toni",Spanish Guitar,3
309,Tuesday,I Know,2
310,LL Cool J,Imagine That,2
311,Master P,Souljas,1
312,Ghostface Killah,Cherchez LaGhost,1
313,"Smith, Will",Freakin' It,4
314,Zombie Nation,Kernkraft 400,2
315,"Eastsidaz, The",Got Beef,2
